Metric,Value
route__drc_errors__iter:33,3
route__wirelength__iter:33,510983
route__drc_errors__iter:34,3
route__wirelength__iter:34,510983
route__drc_errors__iter:35,3
route__wirelength__iter:35,510984
route__drc_errors__iter:36,3
route__wirelength__iter:36,510983
route__drc_errors__iter:37,3
route__wirelength__iter:37,510987
route__drc_errors__iter:38,3
route__wirelength__iter:38,510983
route__drc_errors__iter:39,3
route__wirelength__iter:39,510984
route__drc_errors__iter:40,3
route__wirelength__iter:40,510983
route__drc_errors__iter:41,3
route__wirelength__iter:41,510984
route__drc_errors__iter:42,3
route__wirelength__iter:42,510982
route__drc_errors__iter:43,3
route__wirelength__iter:43,510979
route__drc_errors__iter:44,3
route__wirelength__iter:44,510978
route__drc_errors__iter:45,3
route__wirelength__iter:45,510980
route__drc_errors__iter:46,3
route__wirelength__iter:46,510979
route__drc_errors__iter:47,3
route__wirelength__iter:47,510979
route__drc_errors__iter:48,3
route__wirelength__iter:48,510978
route__drc_errors__iter:49,3
route__wirelength__iter:49,510979
route__drc_errors__iter:50,3
route__wirelength__iter:50,510979
route__drc_errors__iter:51,3
route__wirelength__iter:51,510982
route__drc_errors__iter:52,3
route__wirelength__iter:52,510980
route__drc_errors__iter:53,3
route__wirelength__iter:53,510985
route__drc_errors__iter:54,1
route__wirelength__iter:54,510989
route__drc_errors__iter:55,1
route__wirelength__iter:55,510996
route__drc_errors__iter:56,1
route__wirelength__iter:56,511002
route__drc_errors__iter:57,1
route__wirelength__iter:57,511009
route__drc_errors__iter:58,1
route__wirelength__iter:58,511014
route__drc_errors__iter:59,1
route__wirelength__iter:59,511015
route__drc_errors__iter:60,1
route__wirelength__iter:60,510978
route__drc_errors__iter:61,1
route__wirelength__iter:61,510981
route__drc_errors__iter:62,1
route__wirelength__iter:62,510978
route__drc_errors__iter:63,1
route__wirelength__iter:63,510979
route__drc_errors__iter:64,1
route__wirelength__iter:64,510978
route__drc_errors__iter:65,1
route__wirelength__iter:65,510979
route__drc_errors,1
route__wirelength,510979
route__vias,1946
route__vias__singlecut,1946
route__vias__multicut,0
design__disconnected_pin__count,521
design__critical_disconnected_pin__count,0
route__wirelength__max,5088.56
timing__unannotated_net__count__corner:nom_tt_025C_1v80,329
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,329
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,329
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,329
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,329
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,329
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,329
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,329
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
